id,mensagem,intencao,continua_anterior,contexto_assistente_anterior,deve_conter,nao_deve_conter,notas
"1","oi","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"2","olá","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"3","ola","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"4","e aí","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"5","e ai","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"6","bom dia","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"7","boa tarde","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"8","boa noite","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"9","fala","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"10","opa","SAUDACAO","nao","","Tuma","suplementos|musculação|produtos:","Cumprimento curto"
"11","qual seu nome","IDENTIDADE_TUMA","nao","","Tuma IA","produtos:|acervo:|whey","Sem lista de produtos"
"12","como você se chama","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo:|whey","Sem lista de produtos"
"13","quem é você","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo:|whey","Sem lista de produtos"
"14","vc é quem","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo:|whey","Sem lista de produtos"
"15","fala sobre você","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo:|whey","Sem lista de produtos"
"16","se apresenta","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo:|whey","Sem lista de produtos"
"17","o que você faz","IDENTIDADE_TUMA","nao","","post|arte|Instagram|Mídias","produtos:|acervo:|whey","Sem lista de produtos"
"18","para que você serve","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo:|whey","Sem lista de produtos"
"19","quem te criou","IDENTIDADE_TUMA","nao","","Diego","produtos:|acervo:|whey","Sem lista de produtos"
"20","o que significa Tuma","IDENTIDADE_TUMA","nao","","enviar|suaíli","produtos:|acervo:|whey","Sem lista de produtos"
"21","quem tá falando","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo:|whey","Sem lista de produtos"
"22","me fala de você","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo:|whey","Sem lista de produtos"
"23","você consegue me ajudar?","DUVIDA_CAPACIDADE","nao","","Consigo|Ajudo|Escreve","prévia da imagem|confirmar geração","Não abrir arte sozinho"
"24","você consegue?","DUVIDA_CAPACIDADE","nao","","Consigo|Ajudo|Escreve","prévia da imagem|confirmar geração","Não abrir arte sozinho"
"25","consegue ajudar","DUVIDA_CAPACIDADE","nao","","Consigo|Ajudo|Escreve","prévia da imagem|confirmar geração","Não abrir arte sozinho"
"26","vc pode ajudar","DUVIDA_CAPACIDADE","nao","","Consigo|Ajudo|Escreve","prévia da imagem|confirmar geração","Não abrir arte sozinho"
"27","se eu pedir uma postagem você ajuda","DUVIDA_CAPACIDADE","nao","","Consigo|Ajudo|Escreve","prévia da imagem|confirmar geração","Não abrir arte sozinho"
"28","dá pra fazer arte aqui?","DUVIDA_CAPACIDADE","nao","","Consigo|Ajudo|Escreve","prévia da imagem|confirmar geração","Não abrir arte sozinho"
"29","como faço pra pedir um post","DUVIDA_CAPACIDADE","nao","","Consigo|Ajudo|Escreve","prévia da imagem|confirmar geração","Não abrir arte sozinho"
"30","como funciona","COMO_FUNCIONA","nao","","chat|painel|resumo|prévia|Mídias","empresa em sessão|RAG",""
"31","como funciona o chat","COMO_FUNCIONA","nao","","chat|painel|resumo|prévia|Mídias","empresa em sessão|RAG",""
"32","como funciona o tuma","COMO_FUNCIONA","nao","","chat|painel|resumo|prévia|Mídias","empresa em sessão|RAG",""
"33","como funciona o painel","COMO_FUNCIONA","nao","","chat|painel|resumo|prévia|Mídias","empresa em sessão|RAG",""
"34","para que serve","COMO_FUNCIONA","nao","","chat|painel|resumo|prévia|Mídias","empresa em sessão|RAG",""
"35","quais produtos temos?","LISTAR_PRODUTOS","nao","","","musculação|hidratação|suplementos de","Bullets só do acervo real"
"36","lista o acervo","LISTAR_PRODUTOS","nao","","","musculação|hidratação|suplementos de","Bullets só do acervo real"
"37","o que temos em mídias","LISTAR_PRODUTOS","nao","","","musculação|hidratação|suplementos de","Bullets só do acervo real"
"38","produtos cadastrados","LISTAR_PRODUTOS","nao","","","musculação|hidratação|suplementos de","Bullets só do acervo real"
"39","me lista os produtos","LISTAR_PRODUTOS","nao","","","musculação|hidratação|suplementos de","Bullets só do acervo real"
"40","tem o que no acervo","LISTAR_PRODUTOS","nao","","","musculação|hidratação|suplementos de","Bullets só do acervo real"
"41","quais itens temos","LISTAR_PRODUTOS","nao","","","musculação|hidratação|suplementos de","Bullets só do acervo real"
"42","temos monster?","INFO_PRODUTO","nao","","monster","musculação genérica","Consultar mídias"
"43","tem whey?","INFO_PRODUTO","nao","","whey","musculação genérica","Consultar mídias"
"44","tem creatina?","INFO_PRODUTO","nao","","creatina","musculação genérica","Consultar mídias"
"45","tem produto xyz123?","INFO_PRODUTO","nao","","","musculação genérica","Consultar mídias"
"46","quanto custa o whey?","INFO_PRODUTO","nao","","","musculação genérica","Consultar mídias"
