id,categoria,pergunta,resposta,rota,ok,fonte
"1","SAUDACAO","oi","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"2","SAUDACAO","oi?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"3","SAUDACAO","oi por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"4","SAUDACAO","olá","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"5","SAUDACAO","olá?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"6","SAUDACAO","olá por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"7","SAUDACAO","ola","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"8","SAUDACAO","ola?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"9","SAUDACAO","ola por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"10","SAUDACAO","e aí","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"11","SAUDACAO","e aí?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"12","SAUDACAO","e aí por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"13","SAUDACAO","e ai","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"14","SAUDACAO","e ai?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"15","SAUDACAO","e ai por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"16","SAUDACAO","fala","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"17","SAUDACAO","fala?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"18","SAUDACAO","fala por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"19","SAUDACAO","opa","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"20","SAUDACAO","opa?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"21","SAUDACAO","opa por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"22","SAUDACAO","bom dia","Bom dia! Sou o Tuma IA, da FYT. O que você precisa hoje?","identity","true","deterministic"
"23","SAUDACAO","bom dia?","Bom dia! Sou o Tuma IA, da FYT. O que você precisa hoje?","identity","true","deterministic"
"24","SAUDACAO","bom dia por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"25","SAUDACAO","boa tarde","Boa tarde! Sou o Tuma IA, da FYT. Em que posso ajudar?","identity","true","deterministic"
"26","SAUDACAO","boa tarde?","Boa tarde! Sou o Tuma IA, da FYT. Em que posso ajudar?","identity","true","deterministic"
"27","SAUDACAO","boa tarde por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"28","SAUDACAO","boa noite","Boa noite! Sou o Tuma IA, da FYT. Em que posso ajudar?","identity","true","deterministic"
"29","SAUDACAO","boa noite?","Boa noite! Sou o Tuma IA, da FYT. Em que posso ajudar?","identity","true","deterministic"
"30","SAUDACAO","boa noite por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"31","SAUDACAO","oi tudo bem","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"32","SAUDACAO","oi tudo bem?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"33","SAUDACAO","oi tudo bem por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"34","SAUDACAO","eae","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
